gene_raw	rna_log2fc	rna_fdr	gene_name
AC092813.2	-5.109173887729555	2.176227836847154e-62	AC092813.2
CD4	1.783406984045596	2.2501760842355027e-62	CD4
LINC01615	3.6351629438650113	2.302979199022641e-62	LINC01615
CD27	3.2533501208600573	2.399195303169585e-62	CD27
AC015911.3	2.96930325986508	2.418843037208744e-62	AC015911.3
CACNA2D3	-2.0355948882782853	2.6942874236217373e-62	CACNA2D3
FBXO17	1.5915377931409374	2.769156862823449e-62	FBXO17
CYGB	2.001140081247874	2.8184153799521843e-62	CYGB
GTSE1	2.3491313354280807	2.927529325196165e-62	GTSE1
TNIP3	3.7448519198963774	2.9508086566646985e-62	TNIP3
DOCK2	2.2335034677175565	2.9533255093572323e-62	DOCK2
BTD	-1.081182839103125	3.1894937134573242e-62	BTD
SCGB3A2	6.14915388586275	3.5390969581419692e-62	SCGB3A2
EYA3	-1.003495147730733	3.6085468374292495e-62	EYA3
KIAA1522	-1.4106900860577336	4.206603385507065e-62	KIAA1522
HVCN1	1.326620052169336	4.249960026506132e-62	HVCN1
FXYD5	1.774068644522839	4.282281021257506e-62	FXYD5
SUSD4	-3.671416729243513	4.375397618666803e-62	SUSD4
BRCA2	1.6947030017377958	4.41444882621284e-62	BRCA2
AP003555.1	3.842600357900665	4.663887639553607e-62	AP003555.1
PEG3	-2.5639166983009014	4.689482578017095e-62	PEG3
BATF3	2.1327990994620785	4.759918249717353e-62	BATF3
POMGNT2	-1.1323487794696885	4.980324393210344e-62	POMGNT2
CSF2RA	1.9247389471649348	5.040521824076083e-62	CSF2RA
BAZ1A	1.18601318694376	5.296524901583377e-62	BAZ1A
NT5DC3	2.259490065681508	5.425424389053937e-62	NT5DC3
SCG2	3.923029959643829	5.5662617648979296e-62	SCG2
KCNE4	2.0440724369590377	5.571106225006896e-62	KCNE4
TPI1P2	-1.6887538425424533	5.977928344099649e-62	TPI1P2
NCF1B	2.282154921980514	6.377079858187405e-62	NCF1B
MCM5	1.0589141303386456	6.812651570936769e-62	MCM5
HECW1	-3.74122924866804	6.915365129748906e-62	HECW1
NCR1	2.6317399149222824	7.7030869487904645e-62	NCR1
ASPHD1	2.6499764833813555	8.178637411279972e-62	ASPHD1
AC139495.2	3.0247395107852912	8.311775256734975e-62	AC139495.2
CDC25C	2.7687423451819417	8.831398192949762e-62	CDC25C
TKFC	-1.2390590513582518	9.645430885394185e-62	TKFC
SLC10A6	2.600484567341036	1.0214942061177578e-61	SLC10A6
SCCPDH	-1.33787532930164	1.1824002211709009e-61	SCCPDH
CASP5	2.9429651611939693	1.3316993296322796e-61	CASP5
LRRK1	1.6430243839967829	1.3357472358254629e-61	LRRK1
ZBP1	2.86586853787356	1.4131610770942435e-61	ZBP1
AC009084.1	5.181933909479242	1.8195995554698532e-61	AC009084.1
EMP3	1.712745799001119	2.031540236280281e-61	EMP3
CENPM	2.2116768886100027	2.0479529180021237e-61	CENPM
CPEB3	-1.3690055405178714	2.087087253629761e-61	CPEB3
PTGDR	2.2149615041726363	2.0874638285071536e-61	PTGDR
OMA1	-1.034505026522068	2.184998285498213e-61	OMA1
TSPAN6	-1.2631954129050775	2.6774164169540857e-61	TSPAN6
BID	1.0981090449682516	2.9070465688779026e-61	BID
CPP	4.612261996934568	2.9076243058273978e-61	CPP
MARVELD2	-2.387360106526204	2.9220845832934936e-61	MARVELD2
ENTPD1	1.149969666433594	2.9785624337890757e-61	ENTPD1
LINC01546	2.7164292945437976	3.307897944404752e-61	LINC01546
LMNTD2-AS1	3.639820788215472	4.1196964058807766e-61	LMNTD2-AS1
FMNL3	1.2260256873102595	4.256646123604755e-61	FMNL3
SKA3	2.0802184766282994	4.895577221986533e-61	SKA3
PDP2	-1.5355857033918543	4.940976536981596e-61	PDP2
MRPS9-AS2	-2.778116415297536	5.32530437831672e-61	MRPS9-AS2
AC104590.1	-2.1936368712730525	5.787599376335841e-61	AC104590.1
TOP2B	-1.0018107102988243	6.055027549143956e-61	TOP2B
GFI1	2.4540822718011515	6.334533994949401e-61	GFI1
GM2A	1.3578237215725752	7.140299686439071e-61	GM2A
AL592546.2	-2.8613150081540257	7.621225537633068e-61	AL592546.2
DPEP1	-4.3949020768726434	8.069444133588934e-61	DPEP1
KIF4A	2.2290447008289416	8.712744232645418e-61	KIF4A
SHBG	-2.330113044124641	8.974666194753804e-61	SHBG
LINC00460	6.134817133283529	9.021890201820908e-61	LINC00460
SCARF1	1.5233171625405493	9.962500812261551e-61	SCARF1
ADA	2.245997568886914	1.0085107304307016e-60	ADA
TAGAP	2.0355225148186484	1.0706666630714494e-60	TAGAP
KLHL8	-1.009838420594023	1.1922084393125983e-60	KLHL8
BTN3A3	1.4458976958332614	1.3080253675465043e-60	BTN3A3
HAMP	3.815419879682356	1.3111976842556498e-60	HAMP
SEMA6A	1.91157277928905	1.318145259476094e-60	SEMA6A
SRGAP3-AS4	-4.450784202180395	1.5722425361766642e-60	SRGAP3-AS4
CLSPN	1.8773521006904672	1.5746808534697034e-60	CLSPN
KIAA0895L	2.0454942709778905	1.6054872689701976e-60	KIAA0895L
C5orf58	2.869454962118205	1.676004668526791e-60	C5orf58
SEPTIN1	1.7341503215827712	1.6775533384361923e-60	SEPTIN1
STRA6	-4.002574706680555	1.7108907132295048e-60	STRA6
IDI1	-1.0255720637724282	1.8173842985141624e-60	IDI1
SLC26A4	-3.263556108249206	1.843569455669357e-60	SLC26A4
AP002518.1	3.924875276446244	2.1543430971759354e-60	AP002518.1
ZNF44	-1.159392335526141	2.2423345341526638e-60	ZNF44
KLRG2	-5.065041186207709	2.2580978240670403e-60	KLRG2
AC009779.3	2.128370748364209	2.375892991487249e-60	AC009779.3
AP001636.3	2.0014313786888143	2.7546358547673523e-60	AP001636.3
PDE1A	-2.79910758091925	2.9881310686019195e-60	PDE1A
NAPEPLD	-1.197483266081256	3.4530320254490897e-60	NAPEPLD
CAPN15	1.2991839650247106	3.4949191851967913e-60	CAPN15
MYO6	-1.2391085123212051	3.6486914408414973e-60	MYO6
BEST1	1.8548228141424927	3.7297619046781394e-60	BEST1
COX4I2	2.8543638357700525	3.7601603933825246e-60	COX4I2
PDIA5	1.7444955526911123	4.133811294015319e-60	PDIA5
CDH16	-2.3751393579726234	4.692145180372449e-60	CDH16
LINC00921	1.4567910460500555	5.053501576785706e-60	LINC00921
GPRIN1	2.120683504131319	5.206058617953222e-60	GPRIN1
OR7E91P	-4.458776784166765	5.386368683182051e-60	OR7E91P
PSORS1C2	3.784456616958524	5.398053333072483e-60	PSORS1C2
NAT8L	-4.5935238560454295	5.431823820920931e-60	NAT8L
COL26A1	-4.653513364059135	5.83398788078907e-60	COL26A1
AP000864.1	4.373811900634277	5.91269936868087e-60	AP000864.1
AC114757.1	3.50288177390442	6.120203869991338e-60	AC114757.1
ARHGAP15	1.611715395048873	6.488160777702489e-60	ARHGAP15
ADAMTS14	3.404374325124282	8.61690034868531e-60	ADAMTS14
MARCHF4	2.758567237309597	8.730192569358146e-60	MARCHF4
AL163932.1	-3.667358903840025	8.838585931539939e-60	AL163932.1
AC091057.1	1.9809203946144915	9.074283770995357e-60	AC091057.1
AL365181.2	3.0007356634531788	9.70158466395681e-60	AL365181.2
CD53	1.804989721841996	1.0433480841961326e-59	CD53
AC011246.1	4.739697792420814	1.2283591606248576e-59	AC011246.1
NRK	-4.8013878541731465	1.2763113514070825e-59	NRK
PTCRA	2.95890262394446	1.2815364864034708e-59	PTCRA
RIMBP2	-3.4731364615687186	1.2944259912442406e-59	RIMBP2
CCDC127	1.0452957041409527	1.4211302724783265e-59	CCDC127
AL031846.1	3.728985015658543	1.4464953556572005e-59	AL031846.1
PTTG1	2.38038239613168	1.6668036178593385e-59	PTTG1
BUB1	2.4019841724833397	1.719776922941469e-59	BUB1
TMEM131L	1.074039030880743	1.7199710795451426e-59	TMEM131L
HLA-DQB1	2.242371075528013	1.8311903226859696e-59	HLA-DQB1
PLK1	2.368519019102879	1.9877451110582025e-59	PLK1
SPN	2.128971243861641	2.258204866374878e-59	SPN
AC051619.2	3.6544379848628954	2.3381761891803494e-59	AC051619.2
NCF1C	2.2619775241582407	2.4625635643318393e-59	NCF1C
IKZF1	2.0741153388489297	2.588480269498297e-59	IKZF1
NUAK2	-2.121113088094781	2.588480269498297e-59	NUAK2
HES4	2.307431230716935	2.680879261326108e-59	HES4
PPP1R13L	1.6014088763216614	2.7260192769091082e-59	PPP1R13L
S100A2	-3.4786715961302725	2.8626568922968004e-59	S100A2
ITGA4	1.767313223074192	2.988026372360296e-59	ITGA4
RAD54L	2.732888111083466	3.0010556907985057e-59	RAD54L
ERO1A	1.452143045192649	3.209440215295352e-59	ERO1A
AC004687.1	3.421838503227942	3.332976551164765e-59	AC004687.1
TBX15	3.054893907375833	3.696958856242922e-59	TBX15
CCSER1	-2.521305175796596	3.759268492850601e-59	CCSER1
CD3E	2.6465712755636277	4.143962159979113e-59	CD3E
AL358852.1	-1.42398933181308	4.481352440525944e-59	AL358852.1
DIPK2B	1.882771285467333	5.010555691915533e-59	DIPK2B
SLAMF7	2.8073007920284936	5.401242876874093e-59	SLAMF7
PCED1B	1.7360472120306238	5.610211501410101e-59	PCED1B
SPC24	2.352626535916072	5.786968084098214e-59	SPC24
SERPINH1	1.559163239294628	6.2683536385346755e-59	SERPINH1
AC022905.1	3.645515273990743	6.636863422471698e-59	AC022905.1
CLDN14	-2.89551932028058	7.295007622667865e-59	CLDN14
SLC2A1	1.992782084783697	7.762756582404922e-59	SLC2A1
TIGIT	2.8863287143535783	8.003848701213631e-59	TIGIT
HS6ST1P1	-2.48723234740523	8.259935784373701e-59	HS6ST1P1
GZMK	3.325250973255287	8.32002041332158e-59	GZMK
ENOX1	-1.9406327483824632	8.570848397420637e-59	ENOX1
AC078906.1	4.398506572382683	8.629476769528707e-59	AC078906.1
CST9	-5.478477641806879	9.71020752353844e-59	CST9
SLC15A3	1.606103201368883	1.0710037845883944e-58	SLC15A3
DOK2	1.8729505416487693	1.1062156241367865e-58	DOK2
BIRC3	2.3039345521336827	1.158223994638339e-58	BIRC3
MELK	2.376326644021312	1.2788597181582697e-58	MELK
ZNF488	-3.5310676374876246	1.5049092324674477e-58	ZNF488
AC078864.1	2.796962324444331	1.6301386083917002e-58	AC078864.1
SLC27A3	1.4949838985972814	1.8375032359677963e-58	SLC27A3
SLC6A1	2.338173299435698	1.937919886041375e-58	SLC6A1
PSMG3-AS1	-1.2718959544309512	1.9391489159423605e-58	PSMG3-AS1
GABRE	2.9374551867672856	2.126950558577444e-58	GABRE
SNHG1	1.615652773358217	2.182776062347271e-58	SNHG1
AC139769.1	-2.175725304987367	2.4512679510742597e-58	AC139769.1
CLDN10	-2.308412284610504	2.537426768533764e-58	CLDN10
CAMK1D	1.271568664025913	2.5561022876683574e-58	CAMK1D
AC016026.1	2.746767212421364	2.607367086785465e-58	AC016026.1
GPR19	2.21459874646342	2.635215255129404e-58	GPR19
PCARE	-5.701191325153896	2.89296542389153e-58	PCARE
AL162377.1	-1.3512678580683328	2.969007077034056e-58	AL162377.1
LPXN	1.316342654300452	3.0765200004990178e-58	LPXN
TESPA1	2.418516179277425	3.114500278830551e-58	TESPA1
BTN2A2	1.1691887004395494	3.5181167821784386e-58	BTN2A2
COL4A4	-2.1525107730871595	3.646527106953688e-58	COL4A4
PTPRN2-AS1	2.571011588143085	3.8540279432383204e-58	PTPRN2-AS1
CLK4	1.48893621856124	3.912750335171442e-58	CLK4
ARHGAP45	1.5018693342864875	4.139427817101522e-58	ARHGAP45
AKIRIN1	-1.0990634616041857	4.198104484367109e-58	AKIRIN1
ITGB2-AS1	2.9481307946434314	4.616602499593248e-58	ITGB2-AS1
PLXNB1	-1.4280324006119864	4.711136931402359e-58	PLXNB1
AKR7A2P1	3.3104806724499243	4.8405849978858354e-58	AKR7A2P1
YEATS2-AS1	2.462898485493492	4.859253298068767e-58	YEATS2-AS1
AC019117.2	5.136060691587103	5.3680044487880896e-58	AC019117.2
EVI2B	1.954467205525773	6.092418243476895e-58	EVI2B
RAP2C-AS1	-1.1893569456815327	6.094431125816152e-58	RAP2C-AS1
TRBC2	2.8083826724139054	6.756789237781245e-58	TRBC2
SEMG2	-7.660970641072049	6.976906046535356e-58	SEMG2
AL391121.1	-1.5606434988537898	7.099728533990171e-58	AL391121.1
HCP5	1.383717041360087	7.630810685279226e-58	HCP5
HLA-E	1.0546159417882506	8.360704110305631e-58	HLA-E
FOXM1	2.4283367922307937	8.761101663530782e-58	FOXM1
APOL5	3.998349228574203	8.996988096408758e-58	APOL5
SLC12A5	2.393240011891428	9.413252751666264e-58	SLC12A5
ADGRV1	-2.7833637507861484	9.44621269103595e-58	ADGRV1
DNAJB13	3.794053279452704	1.0399687270311858e-57	DNAJB13
LPIN2	-1.0105320771873685	1.0470512193112544e-57	LPIN2
BTBD19	1.9176324000467109	1.0771934345885085e-57	BTBD19
HNF4A-AS1	-4.490505825555601	1.1316577654625336e-57	HNF4A-AS1
TMEM44	1.817503839084912	1.1493838283283112e-57	TMEM44
AC005962.2	-2.2617423432934003	1.2592433668092782e-57	AC005962.2
FAM151A	-3.981598914229911	1.29406813712615e-57	FAM151A
LIG1	1.0266216404170432	1.2955459863726167e-57	LIG1
KSR1	1.81870121124558	1.3249884495918642e-57	KSR1
CA8	-3.277335346195694	1.3849915906369467e-57	CA8
AC084880.1	2.367416296517072	1.5502469602991196e-57	AC084880.1
SLAMF6	2.52299444589274	1.8097350822031012e-57	SLAMF6
CDHR1	4.197987764862328	1.8150518898169355e-57	CDHR1
AC126564.1	-3.318391088793664	1.8244376886522e-57	AC126564.1
PIEZO2	2.1306934826232293	2.0207092241786517e-57	PIEZO2
AC020633.1	-2.9664090004646635	2.025406404595629e-57	AC020633.1
HLA-DQA1	2.1849407064474407	2.0863532294048413e-57	HLA-DQA1
FAM193B	2.1103393395753445	2.144796254705224e-57	FAM193B
IL18BP	1.523315618562341	2.2031160028445213e-57	IL18BP
SLC52A3	-2.9937281927408264	2.219719133871057e-57	SLC52A3
TICRR	2.269624859986883	2.6659743015829034e-57	TICRR
HLA-DMA	1.5466174514411408	2.7631308862279674e-57	HLA-DMA
AC006960.2	-5.055887161068081	2.7706327849042054e-57	AC006960.2
AC022144.1	2.349571474314022	2.822546830392797e-57	AC022144.1
AC138207.6	1.9733962496193211	3.0215931310385947e-57	AC138207.6
AC000093.1	3.707314918156916	3.2987997474217683e-57	AC000093.1
SIRPA	1.532166029061628	3.65416288751234e-57	SIRPA
AC022733.1	-3.786881412942258	3.6677722564363576e-57	AC022733.1
SNHG15	1.762091176460978	3.851105041047325e-57	SNHG15
SAMD14	1.6230045670286313	3.916559184426141e-57	SAMD14
AC007749.2	5.280324399957818	4.0561951451329945e-57	AC007749.2
TBX19	1.5789812200216276	4.089599926745883e-57	TBX19
MLC1	2.1985156505034382	4.1782464297567735e-57	MLC1
LINC01480	2.7550948856041533	4.313553096061956e-57	LINC01480
GAPDH	1.3286110910074282	4.7896972202732696e-57	GAPDH
EIF4EBP1	2.1281884491181478	4.867332844497715e-57	EIF4EBP1
SUCLG2	-1.2935467312668136	4.992030465266199e-57	SUCLG2
AC005616.1	-6.431806559530815	6.18152086337761e-57	AC005616.1
TMEM145	3.90807257325984	6.605379076545926e-57	TMEM145
MAGI2	-1.534204516265276	7.025990419869555e-57	MAGI2
LIMD2	2.015379222668191	7.853901896960654e-57	LIMD2
TLCD3A	1.5853669387120508	8.147975477514992e-57	TLCD3A
CKAP2L	2.306259230945178	8.33746434495543e-57	CKAP2L
TOP2A	2.3128599336097087	8.480651946761796e-57	TOP2A
SERPINB9	1.348519873082654	8.715168236962929e-57	SERPINB9
AC007920.2	2.624779736908398	8.732229808698411e-57	AC007920.2
LAT	3.2762225068186	9.020454572750481e-57	LAT
AL078604.2	3.391357773502117	9.578869853772925e-57	AL078604.2
APOC1P1	4.000839586397968	9.722371991830117e-57	APOC1P1
FPR3	2.1819720002651493	9.896239476750819e-57	FPR3
AC090337.2	2.890329204149679	9.987525825160225e-57	AC090337.2
AC012459.1	2.5260933674057675	1.0419903005307838e-56	AC012459.1
SPTBN2	-4.312132859127924	1.0420815765653365e-56	SPTBN2
P2RY8	1.834950640794347	1.0686342253957133e-56	P2RY8
LRRC37B	1.0354713749521525	1.0914513702827974e-56	LRRC37B
TNFRSF1B	1.4210609033099877	1.2077235275287714e-56	TNFRSF1B
AC091965.4	-2.168324660360671	1.2378860723197297e-56	AC091965.4
E2F8	2.639069473913308	1.2528430021278312e-56	E2F8
MEFV	2.251064705912416	1.3168064146864006e-56	MEFV
RASSF4	1.6568098470165602	1.3345975740924446e-56	RASSF4
DUXAP8	2.9448987341392567	1.3448111587553e-56	DUXAP8
AC243829.4	4.566708875171399	1.469301505744404e-56	AC243829.4
KIFC1	1.9676497982177703	1.4785315049635949e-56	KIFC1
CDK5RAP3	2.6375272622733963	1.560012638135961e-56	CDK5RAP3
DACH1	-2.385531856947331	1.6217138695765352e-56	DACH1
FDX1	-1.1309493862178148	2.0010275156721772e-56	FDX1
AL162274.1	2.8136891990916264	2.067074198271152e-56	AL162274.1
RNF175	2.444056086812966	2.257303161716148e-56	RNF175
COL4A1	1.8635759198743072	2.288858320216068e-56	COL4A1
HSD3B7	2.2762283701942474	2.291506209421904e-56	HSD3B7
LRRC25	2.294374569773425	2.581027418235841e-56	LRRC25
TMEM233	2.0778466440798646	2.610963057198338e-56	TMEM233
RASSF5	1.697290119751283	2.7084810205247e-56	RASSF5
CTSS	1.91874788829861	2.807925090105997e-56	CTSS
LINC00342	2.1996018228791634	2.999391765120144e-56	LINC00342
AC137932.2	2.3340697730932853	3.181270049315047e-56	AC137932.2
IFITM3P6	2.475258347572709	3.1933603112543305e-56	IFITM3P6
TRGV10	2.8204455903218952	3.634006490786371e-56	TRGV10
AL590764.1	2.269045286816896	3.953192551090449e-56	AL590764.1
PDCD1	3.3271764091725737	4.882053603807471e-56	PDCD1
TSPYL4	-1.0669346914731035	5.075098869662982e-56	TSPYL4
HROB	1.5515710202877713	5.785659189707416e-56	HROB
OPN4	5.476777612079824	5.924360985581128e-56	OPN4
RPS2	1.468995233078667	5.950517131723294e-56	RPS2
AC005041.3	1.7237569232825931	6.1151486056873125e-56	AC005041.3
ITGAM	1.990775944093207	6.438606649807055e-56	ITGAM
AC040977.1	1.5376352124831385	6.901456699109206e-56	AC040977.1
HLA-DQB2	2.802213146940165	7.019961377169756e-56	HLA-DQB2
LGALS12	4.177634015304182	7.5732831127117225e-56	LGALS12
PCGF3	1.0410528888291002	7.900668268514174e-56	PCGF3
SMPDL3A	1.7906980054463482	8.187716168500327e-56	SMPDL3A
IKZF3	2.5643208834859204	8.209096757134339e-56	IKZF3
PTGER1	-4.839384039205136	8.851975942946018e-56	PTGER1
JAG2	1.6890248517629811	9.374580418207794e-56	JAG2
CD160	1.8302479340208595	9.856767845628298e-56	CD160
CORO7	1.5427212188308	1.036763411835828e-55	CORO7
LINC00426	2.606096136549092	1.0533563870023063e-55	LINC00426
UBTFL6	2.6807809154105784	1.0789859098408335e-55	UBTFL6
SLC35G2	1.4057996010311986	1.1042029373635975e-55	SLC35G2
HELT	-5.540172367325117	1.2098538331672858e-55	HELT
AC084117.1	3.223104414203776	1.2211169006310563e-55	AC084117.1
B4GALNT1	3.90645073451796	1.2240683490809774e-55	B4GALNT1
CDC6	1.9926488876566395	1.4199820325371178e-55	CDC6
C20orf204	2.1255937940887666	1.4716481004568079e-55	C20orf204
MBOAT2	-1.5698101647429932	1.6816748130803312e-55	MBOAT2
GPR65	1.903788543517797	1.7124900915199858e-55	GPR65
DANCR	-1.650632560037733	1.7834557766790984e-55	DANCR
ACAP1	1.865138873623039	1.8326870805432954e-55	ACAP1
AC093908.1	1.986566766588301	1.8584418133480257e-55	AC093908.1
LINC00652	-1.979320791146857	1.8644176623677933e-55	LINC00652
AP001999.2	-7.329722734653286	1.9592184669351648e-55	AP001999.2
ARHGEF3	-1.0892406208400258	2.0026471532678785e-55	ARHGEF3
AC148476.1	4.211257454283336	2.02694659912336e-55	AC148476.1
MYDGF	1.243790822368127	2.068886672534321e-55	MYDGF
BNIP3	1.5292528118129094	2.3838079023414903e-55	BNIP3
AC136475.3	3.941062492125961	2.460681789168989e-55	AC136475.3
CD3G	2.535505138228332	2.4872678125743e-55	CD3G
CGAS	1.3825666271212258	2.5168245988723768e-55	CGAS
CD74	1.748664729211519	2.534704064909701e-55	CD74
MAGI3	-1.8266671595377384	2.5438978799784583e-55	MAGI3
CCNE2	1.4330662364697888	2.768755976192076e-55	CCNE2
HOXB6	-2.0833691752493944	2.7815367755098957e-55	HOXB6
PILRA	1.6384237343495711	2.9599493069098462e-55	PILRA
USP53	-1.4139873074433928	3.052499097375905e-55	USP53
NRG3	1.942186543874764	3.0711767053313366e-55	NRG3
SCIMP	1.96234429869526	3.2070964548221584e-55	SCIMP
KRT223P	4.898740889095506	3.347954793428437e-55	KRT223P
HLA-C	1.316189816093698	3.376476526520657e-55	HLA-C
RAC2	2.087706320668877	3.538363685120557e-55	RAC2
SYNJ2BP	-1.2535000264346154	3.7331672398920256e-55	SYNJ2BP
GATA3	-3.111836383798133	3.73414525395843e-55	GATA3
IBSP	5.297935081488402	3.7995679969461876e-55	IBSP
CCM2	1.128314690994547	3.806835301339667e-55	CCM2
AC020912.1	3.265605535609456	3.8123658839886966e-55	AC020912.1
CD80	2.4809948697258557	3.9069759648988904e-55	CD80
F11	-4.314458146022179	3.9602629071666704e-55	F11
CDKN2B	1.6847709748015134	4.259858553767368e-55	CDKN2B
DYNLL2	-1.0124375250275044	4.554756666886727e-55	DYNLL2
MAPK8IP3	2.0967115602804425	4.570555825886608e-55	MAPK8IP3
AC006517.2	3.58098305349962	4.5719164445619346e-55	AC006517.2
TSPAN32	1.989556975044187	4.60012898337627e-55	TSPAN32
LINC02073	3.1670631300837013	4.66321539364824e-55	LINC02073
FAM13A-AS1	2.220988375589646	4.7529626546175216e-55	FAM13A-AS1
SEM1P1	-3.4238322769534766	4.832667993930931e-55	SEM1P1
BRCC3	-1.0799336173212175	5.049459743947749e-55	BRCC3
SIT1	2.700327215386023	5.5149627912795174e-55	SIT1
DLEU2	1.990767482821203	5.5883004010978125e-55	DLEU2
LINC01234	5.931911297238612	6.135087061958921e-55	LINC01234
CPA6	2.531851366216184	6.366839465946685e-55	CPA6
SLC29A4	2.193443735776715	6.4182177444856446e-55	SLC29A4
PDILT	-3.0861876126398653	6.746279579454218e-55	PDILT
CXorf58	-1.8657695414515616	7.119378473605983e-55	CXorf58
SH3BP1	1.955729259681643	8.002712068324375e-55	SH3BP1
ELDR	4.982064665917412	8.158522392875332e-55	ELDR
MMP9	3.756826054169801	8.181690235297383e-55	MMP9
KCTD8	-4.08187622889505	8.32034597679729e-55	KCTD8
OR7E47P	3.00719306286373	8.820553666065861e-55	OR7E47P
LILRA2	1.890897539102576	9.197367522512301e-55	LILRA2
PRR7	2.386347747810688	9.299114777120128e-55	PRR7
MICOS10	-1.081736205077929	9.474360405189796e-55	MICOS10
KCTD1	-1.9599441569563287	9.766052993680507e-55	KCTD1
ZBED5-AS1	-1.0188217060887883	1.052715548667262e-54	ZBED5-AS1
AC044810.2	-3.819240152024713	1.0703595797008344e-54	AC044810.2
BIRC5	2.484105841585292	1.1167225249460741e-54	BIRC5
PLAT	-1.776488613630038	1.2370224382945507e-54	PLAT
LINC02609	2.284767321787553	1.3052778432999735e-54	LINC02609
AFAP1L1	1.512945933682986	1.4519672887660322e-54	AFAP1L1
LINC01684	2.655927729281539	1.4779247166564026e-54	LINC01684
PIGAP1	4.397465181192518	1.5046665947266662e-54	PIGAP1
SRL	-1.8927191520417104	1.717616420564527e-54	SRL
BCAM	-1.690215684649715	1.8579668743532034e-54	BCAM
AL031595.2	3.582016726161964	1.8630596232549052e-54	AL031595.2
AC124944.2	2.5831306284316984	1.9351526156948806e-54	AC124944.2
KCNMA1-AS1	4.158599316788358	1.9859866437592488e-54	KCNMA1-AS1
AL596442.2	2.7452803174654994	2.4673649774490302e-54	AL596442.2
SH2D5	2.461842210193585	2.731847608217633e-54	SH2D5
SGPP1	-1.2788888678492705	2.7837448272666664e-54	SGPP1
ACLY	1.321097444499001	2.8665005137184676e-54	ACLY
PRRG2	-2.832553288558688	2.8732845820307383e-54	PRRG2
BMP6	-2.1334744541248623	3.1445202965888524e-54	BMP6
GIT2	1.3162401673124773	3.2858391891969677e-54	GIT2
LTA	2.656397458090847	3.337324925604612e-54	LTA
CENPH	1.368520985875728	3.4191686457026465e-54	CENPH
AC026401.3	1.435649119992907	3.446037074282725e-54	AC026401.3
PLAC8L1	2.8714890835637634	3.826543379380965e-54	PLAC8L1
UNC5A	3.4336441319984456	3.863680045404859e-54	UNC5A
ADAMTSL4	2.130004916914367	3.88463047596673e-54	ADAMTSL4
RACK1	1.2043750838934686	4.2059257235049617e-54	RACK1
AFM	-4.683950317539967	4.449707143482611e-54	AFM
ABCA12	2.8684376508516314	4.576059809661626e-54	ABCA12
KCNJ12	-2.3299438165905317	4.875535021276353e-54	KCNJ12
NPIPB5	2.719205265461792	4.9644119326966276e-54	NPIPB5
PRR35	-6.945852863658003	4.9728878129710215e-54	PRR35
ABCA1	1.5429050411742369	5.416231930161254e-54	ABCA1
ASB15	-5.217381582070647	5.466281377561831e-54	ASB15
AC015911.7	2.9161197459380457	5.684954018276342e-54	AC015911.7
AL110505.1	-3.846092971340584	5.697930593065594e-54	AL110505.1
DHRS11	-1.433810564209292	7.068162410756466e-54	DHRS11
AC105105.1	3.407927576611077	7.14127434565541e-54	AC105105.1
AJ003147.3	2.8780742038360203	7.762128414788673e-54	AJ003147.3
AL022345.4	-1.5532086367749662	8.2832114533996e-54	AL022345.4
AKNA	1.4628211993642797	8.859470810840718e-54	AKNA
FAM3B	-4.016331549446729	9.077977250404343e-54	FAM3B
LINC01871	2.462121106273273	9.413357336664687e-54	LINC01871
HSPA6	1.9082204316533151	9.47415576674106e-54	HSPA6
IPO13	-1.052591534143629	1.1053887568827707e-53	IPO13
AC008659.1	4.601499107291459	1.2848383248866356e-53	AC008659.1
UBE2C	2.9507454411240204	1.3126692677783874e-53	UBE2C
HES5	3.8407229831396177	1.363894637678312e-53	HES5
CTLA4	2.960923945568368	1.401768749780758e-53	CTLA4
CEMIP2	1.2289890942197723	1.4399492611279963e-53	CEMIP2
KLRK1	3.288118825933488	1.447901241397447e-53	KLRK1
MMP11	2.0321256894834483	1.4691788495899175e-53	MMP11
LINC00881	3.232815053795316	1.533686212795983e-53	LINC00881
ALKBH6	2.098275096321768	1.5546960062503184e-53	ALKBH6
ACADM	-1.5460275071404272	1.7054472912927584e-53	ACADM
RHOH	2.2247943880427776	1.7277802576532772e-53	RHOH
AIM2	3.060262407291383	1.7334191829646286e-53	AIM2
AC103740.1	2.190025366525058	1.774925139809962e-53	AC103740.1
TENM1	2.441616912131677	1.8244517729272715e-53	TENM1
LBX2	2.056490378414712	1.8755507526499607e-53	LBX2
PAQR5	-1.7658324100511105	1.8801296282967735e-53	PAQR5
PCCB	-1.6741907179473643	1.9999769365590641e-53	PCCB
TNNI2	2.4390627034433567	2.087007890371264e-53	TNNI2
BCL2A1	2.568206628418433	2.2080987909922354e-53	BCL2A1
PCDHB10	1.6974838081850778	2.2352395964905344e-53	PCDHB10
EME1	2.0908053963606013	2.328682778818861e-53	EME1
S100Z	2.2593214149241336	2.4009229642725516e-53	S100Z
PLVAP	1.9415211033729576	2.441668810004167e-53	PLVAP
RAG2	-4.454634659876873	2.468142070021866e-53	RAG2
ADH1C	-4.461867990838841	3.1768520969701114e-53	ADH1C
ITPKA	3.735486353338	3.227611474730993e-53	ITPKA
SEL1L3	1.6574337602510472	3.3056684469167833e-53	SEL1L3
