gene_raw	rna_log2fc	rna_fdr	gene_name
LINC02783	7.516014416035299	1.826973888132816e-135	LINC02783
ARHGEF39	2.671132962380806	3.269372156630968e-135	ARHGEF39
AP000696.1	-5.830978118141179	5.272332399656493e-135	AP000696.1
ESM1	3.55984127616268	6.273800382069587e-135	ESM1
SLC6A3	6.418244064350185	1.1944737301331493e-134	SLC6A3
SLC12A1	-8.273210068908663	3.0081654586331488e-134	SLC12A1
EDA2R	2.284012359626011	4.788702916831679e-134	EDA2R
LINC02410	-4.775177941156424	6.163895536826263e-134	LINC02410
DBT	-1.5639584342707755	8.456956325564483e-134	DBT
LINC02188	3.803222419053111	1.2982543977108396e-133	LINC02188
RHBDF2	1.956002996510135	1.820745491843316e-133	RHBDF2
AC007326.1	6.913789044093532	3.4343006434837142e-133	AC007326.1
CYP2J2	5.1074358243996025	8.559809790715118e-133	CYP2J2
SLC4A11	-4.456988503164923	1.278555938700955e-132	SLC4A11
NXPH4	4.527753695711311	2.3203376606755776e-132	NXPH4
SLC15A4	1.844159678771576	3.291146929909131e-132	SLC15A4
SOX11	5.3991153120235005	4.372539856513168e-132	SOX11
KRBA1	2.7938777253372487	4.521910297709409e-132	KRBA1
SDS	4.248086428102179	1.0695734025150982e-131	SDS
SFTA1P	5.01713847131578	2.7927774161654154e-131	SFTA1P
INHBB	3.818805100461346	2.8321278545378698e-130	INHBB
LINC01587	5.156975371831709	4.23151585312926e-130	LINC01587
DOK3	2.6428517614250824	8.084489047929677e-130	DOK3
AC007406.3	3.3844643099052707	9.637675846686222e-130	AC007406.3
LINC01020	-6.373812502729863	2.485878141086397e-129	LINC01020
TMEM91	3.890123858376505	4.16093300575989e-129	TMEM91
MTCP1	3.265125555734486	1.4302131137276874e-128	MTCP1
FGF1	-4.226875359143872	5.439494813226891e-128	FGF1
KISS1R	6.391158697768049	6.855714627747677e-128	KISS1R
IGFBP3	3.47376854123203	9.50093142416135e-128	IGFBP3
ERMP1	-2.4857606865367017	9.554296539962656e-128	ERMP1
AC090709.1	-7.791256971532457	1.6827089093648202e-127	AC090709.1
AHNAK2	4.049185126253883	2.124318933503013e-127	AHNAK2
SLC4A8	-2.721428300529828	5.025923872049541e-127	SLC4A8
TMEM74B	4.128150732538283	6.327842523240521e-127	TMEM74B
AC092078.2	-6.340193134995649	8.356817418139575e-127	AC092078.2
RASAL3	2.678361767540392	2.7530582766379766e-126	RASAL3
IDO1	3.9811073198902656	3.2580783269514327e-126	IDO1
TYMP	2.9267064573133155	4.81563055366242e-126	TYMP
ITGAX	3.285617801780688	5.340049876994271e-126	ITGAX
PARVG	2.900980129099478	7.20079377220032e-126	PARVG
PIK3R5	2.794809681633885	1.248067031480624e-125	PIK3R5
TMEM155	5.122108348415008	2.7715057362279267e-125	TMEM155
TNFRSF4	3.296088082352334	3.26521877060772e-125	TNFRSF4
UXS1	-1.4522079704598772	3.724925179573532e-125	UXS1
LINC02747	6.266729272525261	5.215764615852614e-125	LINC02747
RAB42	4.864861832598311	8.065919113801286e-125	RAB42
FAM78A	2.363694253470456	9.40451374113695e-125	FAM78A
